部品コード,品名,工順,工程No,工程名,外注先NO,外注先名
137,支給 A-38 ﾂﾏﾐ,1,3,購入品,4007,T製造
166,支給 A-45-1(#200),1,3,購入品,4007,T製造
209,ｶｲﾃﾝﾎﾝﾀﾃ Bｼﾞｭｳｼﾞﾊﾟｲﾌﾟ,1,23,検査,57037,ｵｵﾂｶ
209,ｶｲﾃﾝﾎﾝﾀﾃ Bｼﾞｭｳｼﾞﾊﾟｲﾌﾟ,2,17,メッキ,54002,山下
209,ｶｲﾃﾝﾎﾝﾀﾃ Bｼﾞｭｳｼﾞﾊﾟｲﾌﾟ,3,1,鋳造,51209,三協
210,ｶｲﾃﾝﾎﾝﾀﾃBNｼﾞｭ-ｼﾞﾊﾟｲﾌﾟ,1,23,検査,57037,ｵｵﾂｶ
210,ｶｲﾃﾝﾎﾝﾀﾃBNｼﾞｭ-ｼﾞﾊﾟｲﾌﾟ,2,17,メッキ,54002,山下
210,ｶｲﾃﾝﾎﾝﾀﾃBNｼﾞｭ-ｼﾞﾊﾟｲﾌﾟ,3,1,鋳造,51209,三協
211,ｶｲﾃﾝﾎﾝﾀﾃ 2ﾀﾞﾝﾊﾟｲﾌﾟ 2ｱﾅ,1,23,検査,57037,ｵｵﾂｶ
211,ｶｲﾃﾝﾎﾝﾀﾃ 2ﾀﾞﾝﾊﾟｲﾌﾟ 2ｱﾅ,2,17,メッキ,54002,山下
211,ｶｲﾃﾝﾎﾝﾀﾃ 2ﾀﾞﾝﾊﾟｲﾌﾟ 2ｱﾅ,3,1,鋳造,51209,三協
212,ｶｲﾃﾝﾎﾝﾀﾃ 2ﾀﾞﾝﾊﾟｲﾌﾟ 3ｱﾅ,1,23,検査,57037,ｵｵﾂｶ
212,ｶｲﾃﾝﾎﾝﾀﾃ 2ﾀﾞﾝﾊﾟｲﾌﾟ 3ｱﾅ,2,17,メッキ,54002,山下
212,ｶｲﾃﾝﾎﾝﾀﾃ 2ﾀﾞﾝﾊﾟｲﾌﾟ 3ｱﾅ,3,1,鋳造,51209,三協
213,ｶｲﾃﾝﾎﾝﾀﾃ Cﾊﾟｲﾌﾟ 2ｱﾅ,1,23,検査,57037,ｵｵﾂｶ
213,ｶｲﾃﾝﾎﾝﾀﾃ Cﾊﾟｲﾌﾟ 2ｱﾅ,2,17,メッキ,54002,山下
213,ｶｲﾃﾝﾎﾝﾀﾃ Cﾊﾟｲﾌﾟ 2ｱﾅ,3,1,鋳造,51209,三協
214,ｶｲﾃﾝﾎﾝﾀﾃ Cﾊﾟｲﾌﾟ 3ｱﾅ,1,23,検査,57037,ｵｵﾂｶ
214,ｶｲﾃﾝﾎﾝﾀﾃ Cﾊﾟｲﾌﾟ 3ｱﾅ,2,17,メッキ,54002,山下
214,ｶｲﾃﾝﾎﾝﾀﾃ Cﾊﾟｲﾌﾟ 3ｱﾅ,3,1,鋳造,51209,三協
240,ﾎﾞｲｽ ﾌﾞﾗｹｯﾄ,1,8,仕上加工,0,#N/A
240,ﾎﾞｲｽ ﾌﾞﾗｹｯﾄ,2,1,鋳造,51213,岡芹
244,ﾃﾞﾝﾜﾀﾞｲﾊﾟｲﾌﾟｼｼﾞﾌﾞ No.1,1,8,仕上加工,56005,ﾏﾂｲ
244,ﾃﾞﾝﾜﾀﾞｲﾊﾟｲﾌﾟｼｼﾞﾌﾞ No.1,2,1,鋳造,99999,秋葉
245,ﾃﾞﾝﾜﾀﾞｲﾊﾟｲﾌﾟｼｼﾞﾌﾞ No.2,1,8,仕上加工,56005,ﾏﾂｲ
245,ﾃﾞﾝﾜﾀﾞｲﾊﾟｲﾌﾟｼｼﾞﾌﾞ No.2,2,1,鋳造,99999,秋葉
248,ﾊﾟｿｺﾝ ｱｼﾞｬｽﾀ-ｳｹ,1,8,仕上加工,56032,ｲｰｸﾞﾙ協
248,ﾊﾟｿｺﾝ ｱｼﾞｬｽﾀ-ｳｹ,2,1,鋳造,51212,関口
251,OL ｶﾝｾﾂｼﾞｸ CA･CBﾖｳ,1,25,出荷,0,#N/A
261,PHｶﾞﾀ ﾌﾚｰﾑｼﾞｮｲﾝﾄ,1,23,検査,57037,ｵｵﾂｶ
261,PHｶﾞﾀ ﾌﾚｰﾑｼﾞｮｲﾝﾄ,2,17,メッキ,54002,山下
261,PHｶﾞﾀ ﾌﾚｰﾑｼﾞｮｲﾝﾄ,3,1,鋳造,51209,三協
612,支給 A-316-2 ROHS,1,3,購入品,4007,T製造
614,支給 A-316-3 ROHS,1,3,購入品,4007,T製造
1410,支給 A-484-B-3 ROHS,1,3,購入品,4007,T製造
1418,支給 A-495-2 #0200,1,3,購入品,4007,T製造
1484,支給 AC-100-E (#0200),1,3,購入品,4007,T製造
1676,支給 AC-25-Q-4 ROHS,1,3,購入品,4007,T製造
1677,支給 AC-25-Q-14 ROHS,1,3,購入品,4007,T製造
1787,支給 A-484-B-4 ROHS,1,3,購入品,4007,T製造
1897,支給 AP-867 (#T0230),1,3,購入品,4007,T製造
4044,支給 A-303-1 TAK60,1,3,購入品,4007,T製造
4050,支給 A-465-F-1 TAK60,1,3,購入品,4007,T製造
4054,支給 A-481-F-4 TAK60,1,3,購入品,4007,T製造
4080,支給 A-151R-F-1 TAK60,1,3,購入品,4007,T製造
4196,支給 A-316-CY-2T6,1,3,購入品,4007,T製造
4212,支給 A-388N 鍵付,1,3,購入品,4007,T製造
4244,支給 A-388N ｶｷﾞﾅｼ,1,3,購入品,4007,T製造
5776,支給 TAK7200-4 ﾛｰﾀｰ,1,25,出荷,0,#N/A
5777,支給 TAK7200-4 ﾛｰﾀｰ,1,25,出荷,0,#N/A
5778,支給 TAK7200-4 ﾛｰﾀｰ,1,25,出荷,0,#N/A
6009,PIAA60 ﾊﾞﾙﾌﾞﾎﾙﾀﾞｰ,1,8,仕上加工,57015,沢田富美
9700,CN ﾌﾞﾛｯｸ 2,1,8,仕上加工,56027,美才治
9700,CN ﾌﾞﾛｯｸ 2,2,1,鋳造,51209,三協
9701,CN ﾌﾞﾛｯｸ 2U,1,8,仕上加工,56027,美才治
9701,CN ﾌﾞﾛｯｸ 2U,2,1,鋳造,51209,三協
9702,CN ﾌﾞﾛｯｸ 3C,1,8,仕上加工,56027,美才治
9702,CN ﾌﾞﾛｯｸ 3C,2,1,鋳造,51209,三協
9703,CN ﾌﾞﾛｯｸ 3CUR,1,8,仕上加工,56027,美才治
9703,CN ﾌﾞﾛｯｸ 3CUR,2,1,鋳造,51209,三協
9704,CN ﾌﾞﾛｯｸ 3CUL,1,8,仕上加工,56027,美才治
9704,CN ﾌﾞﾛｯｸ 3CUL,2,1,鋳造,51209,三協
9705,CN ﾌﾞﾛｯｸ 3T,1,8,仕上加工,56027,美才治
9705,CN ﾌﾞﾛｯｸ 3T,2,1,鋳造,51209,三協
9706,CN ﾌﾞﾛｯｸ 4,1,8,仕上加工,56027,美才治
9706,CN ﾌﾞﾛｯｸ 4,2,1,鋳造,51209,三協
9707,CN ﾌﾞﾛｯｸ 4U,1,8,仕上加工,56027,美才治
9707,CN ﾌﾞﾛｯｸ 4U,2,1,鋳造,51209,三協
9708,CN ﾌﾞﾛｯｸ 5,1,8,仕上加工,56027,美才治
9708,CN ﾌﾞﾛｯｸ 5,2,1,鋳造,51209,三協
9720,CS ﾌﾞﾛｯｸ 2,1,17,メッキ,54002,山下
9721,CS ﾌﾞﾛｯｸ 2U,1,17,メッキ,54002,山下
9722,CS ﾌﾞﾛｯｸ 3C,1,17,メッキ,54002,山下
9723,CS ﾌﾞﾛｯｸ 3CUR,1,17,メッキ,54002,山下
9724,CS ﾌﾞﾛｯｸ 3CUL,1,17,メッキ,54002,山下
9725,CS ﾌﾞﾛｯｸ 3T,1,17,メッキ,54002,山下
9726,CS ﾌﾞﾛｯｸ 4,1,17,メッキ,54002,山下
9727,CS ﾌﾞﾛｯｸ 4U,1,17,メッキ,54002,山下
