図番,品名,品名2,備考
137,支給　Ａ－３８　ツマミ,支給 A-38 ﾂﾏﾐ,
209,カイテンホンタテ　Ｂジュウジパイプ,支給 A-45-1(#200),
210,カイテンホンタテＢＮジュ－ジパイプ,支給 A-316-2 ROHS,
211,カイテンホンタテ　２ダンパイプ　２アナ,支給 A-316-3 ROHS,
212,カイテンホンタテ　２ダンパイプ　３アナ,支給 A-484-B-3 ROHS,
213,カイテンホンタテ　Ｃパイプ　２アナ,支給 A-495-2 #0200,
214,カイテンホンタテ　Ｃパイプ　３アナ,支給 AC-100-E (#0200),
240,ボイス　ブラケット,支給 AC-25-Q-4 ROHS,
244,デンワダイパイプシジブ　Ｎｏ．１,支給 AC-25-Q-14 ROHS,
245,デンワダイパイプシジブ　Ｎｏ．２,支給 A-484-B-4 ROHS,
248,パソコン　アジャスタ－ウケ,支給 AP-867 (#T0230),
251,ＯＬ　カンセツジク　ＣＡ・ＣＢヨウ,支給 A-303-1 TAK60,
261,ＰＨガタ　フレームジョイント,支給 A-465-F-1 TAK60,
1410,支給　Ａ－４８４－Ｂ－３　ＲＯＨＳ,支給 A-481-F-4 TAK60,
1418,支給　Ａ－４９５－２　＃０２００,支給 A-151R-F-1 TAK60,
1484,支給　ＡＣ－１００－Ｅ　（＃０２００）,支給 A-316-CY-2T6,
1676,支給　ＡＣ－２５－Ｑ－４　ＲＯＨＳ,支給 A-388N 鍵付,
1677,支給　ＡＣ－２５－Ｑ－１４　ＲＯＨＳ,支給 A-388N ｶｷﾞﾅｼ,
1787,支給　Ａ－４８４－Ｂ－４　ＲＯＨＳ,支給 TAK7200-4 ﾛｰﾀｰ,
1897,支給　ＡＰ－８６７　（＃Ｔ０２３０）,支給 TAK7200-4 ﾛｰﾀｰ,
4044,支給　Ａ－３０３－１　ＴＡＫ６０,支給 TAK7200-4 ﾛｰﾀｰ,
4050,支給　Ａ－４６５－Ｆ－１　ＴＡＫ６０,支給 BP-99-C-4 ﾇｹﾄﾞﾒｷｬｯﾌﾟ,
4054,支給　Ａ－４８１－Ｆ－４　ＴＡＫ６０,支給 TAK7000-4S-0,
4080,支給　Ａ－１５１Ｒ－Ｆ－１　ＴＡＫ６０,支給 C-30-SG-9A,
4212,支給　Ａ－３８８Ｎ　鍵付,支給 C-30-SG-12A,
4244,支給　Ａ－３８８Ｎ　カギナシ,支給 C-30-SG-14A ｸﾞﾛﾒｯﾄ,
5776,支給　ＴＡＫ７２００－４　ローター,支給 C-30-SG-20A,
5777,支給　ＴＡＫ７２００－４　ローター,支給 CP-328-B5 CPｻﾞｶﾞﾈｸﾞﾚｰ,
5778,支給　ＴＡＫ７２００－４　ローター,C-178-T 両抜・同番 #T0230,
